email,label
"Congratulations! You've won a free ticket.",1
"Hi friend, are we meeting tomorrow?",0
"Lowest prices on meds, buy now!!!",1
"Please find the report attached.",0
"Earn money quickly with this one trick.",1
"Can you review the document?",0
"Get your free coupon now!",1
"Let's catch up over coffee.",0
"URGENT! Your account has been compromised.",1
"Thank you for your purchase.",0
"Win a brand new car, enter now!",1
"Your invoice is attached.",0
"Limited time offer, don't miss out!",1
"Meeting rescheduled to next week.",0
"Claim your free vacation today!",1
"Could you send me the files?",0
"Congratulations! You've won a free ticket.",1
"Hi friend, are we meeting tomorrow?",0
"Lowest prices on meds, buy now!!!",1
"Please find the report attached.",0
"Earn money quickly with this one trick.",1
"Can you review the document?",0
"Get your free coupon now!",1
"Let's catch up over coffee.",0
"URGENT! Your account has been compromised.",1
"Thank you for your purchase.",0
"Win a brand new car, enter now!",1
"Your invoice is attached.",0
"Limited time offer, don't miss out!",1
"Meeting rescheduled to next week.",0
"Claim your free vacation today!",1
"Could you send me the files?",0
"Exclusive deal just for you!",1
"Are we still on for lunch?",0
"Increase your income with no effort!",1
"Here's the presentation slides.",0
"Get rich quick with this simple method!",1
"Looking forward to our meeting.",0
"Act now! Limited stock available.",1
"Thanks for your feedback.",0
"Earn cash fast, no experience needed.",1
"Don't forget the team outing tomorrow.",0
"Your subscription expires today!",1
"Minutes from today's meeting attached.",0
"Free trial for premium membership!",1
"Happy birthday! Hope you have a great day.",0
"Congratulations! You've won a free ticket.",1
"Hi friend, are we meeting tomorrow?",0
"Lowest prices on meds, buy now!!!",1
"Please find the report attached.",0
"Earn money quickly with this one trick.",1
"Can you review the document?",0
"Get your free coupon now!",1
"Let's catch up over coffee.",0
"URGENT! Your account has been compromised.",1
"Thank you for your purchase.",0
"Win a brand new car, enter now!",1
"Your invoice is attached.",0
"Limited time offer, don't miss out!",1
"Meeting rescheduled to next week.",0
"Claim your free vacation today!",1
"Could you send me the files?",0
"Exclusive deal just for you!",1
"Are we still on for lunch?",0
"Increase your income with no effort!",1
"Here's the presentation slides.",0
"Get rich quick with this simple method!",1
"Looking forward to our meeting.",0
"Act now! Limited stock available.",1
"Thanks for your feedback.",0
"Earn cash fast, no experience needed.",1
"Don't forget the team outing tomorrow.",0
"Your subscription expires today!",1
"Minutes from today's meeting attached.",0
"Free trial for premium membership!",1
"Happy birthday! Hope you have a great day.",0
"Special promotion just for you!",1
"Can you send me the updated file?",0
"Congratulations! Claim your prize now.",1
"Please review the attached document.",0
"Limited offer! Buy one get one free!",1
"Let's discuss the project plan.",0
"Make money online with no effort.",1
"Here is the agenda for tomorrow's call.",0
"Winner! You've been selected for a gift.",1
"Thanks for your support.",0
"Flash sale ends today, hurry up!",1
"Are you available for a quick call?",0
"Get your discount coupon now!",1
"Please find the minutes of meeting attached.",0
"Urgent: Update your payment details.",1
"Looking forward to your reply.",0
"Earn thousands working from home!",1
"Please confirm your attendance.",0
"Congratulations! You've won a free ticket.",1
"Hi friend, are we meeting tomorrow?",0
"Lowest prices on meds, buy now!!!",1
"Please find the report attached.",0
"Earn money quickly with this one trick.",1
"Can you review the document?",0
"Get your free coupon now!",1
"Let's catch up over coffee.",0
"URGENT! Your account has been compromised.",1
"Thank you for your purchase.",0
"Win a brand new car, enter now!",1
"Your invoice is attached.",0
"Limited time offer, don't miss out!",1
"Meeting rescheduled to next week.",0
"Claim your free vacation today!",1
"Could you send me the files?",0
"Exclusive deal just for you!",1
"Are we still on for lunch?",0
"Increase your income with no effort!",1
"Here's the presentation slides.",0
"Get rich quick with this simple method!",1
"Looking forward to our meeting.",0
"Act now! Limited stock available.",1
"Thanks for your feedback.",0
"Earn cash fast, no experience needed.",1
"Don't forget the team outing tomorrow.",0
"Your subscription expires today!",1
"Minutes from today's meeting attached.",0
"Free trial for premium membership!",1
"Happy birthday! Hope you have a great day.",0
"Special promotion just for you!",1
"Can you send me the updated file?",0
"Congratulations! Claim your prize now.",1
"Please review the attached document.",0
"Limited offer! Buy one get one free!",1
"Let's discuss the project plan.",0
"Make money online with no effort.",1
"Here is the agenda for tomorrow's call.",0
"Winner! You've been selected for a gift.",1
"Thanks for your support.",0
"Flash sale ends today, hurry up!",1
"Are you available for a quick call?",0
"Get your discount coupon now!",1
"Please find the minutes of meeting attached.",0
"Urgent: Update your payment details.",1
"Looking forward to your reply.",0
"Earn thousands working from home!",1
"Please confirm your attendance.",0
"Your account has been locked. Reset now!",1
"Can you send me the latest figures?",0
"Free access to exclusive content!",1
"Meeting minutes from last week.",0
"Earn passive income with no investment!",1
"Thanks for the update.",0
"Congratulations! You've been selected!",1
"Here's the project timeline.",0
"Act fast! Limited slots available.",1
"Please approve the budget.",0
"Win a holiday trip, enter today!",1
"Let's finalize the contract.",0
"Exclusive discounts just for you.",1
"Can you review this report?",0
"Urgent! Verify your identity now.",1
"Thank you for your help.",0
"Earn cash prizes, no strings attached!",1
"Schedule a meeting for next week.",0
"Claim your cashback now!",1
"Please find the attached invoice.",0
"Don't miss this limited-time deal!",1
"Looking forward to your feedback.",0
"Your subscription has been renewed.",0
"Get paid to complete surveys!",1
"Can you send me the draft?",0
